City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,heihe,50.2441,127.4902,16.32,45,1,2.68,CN,1727323703
83,ushuaia,-54.8,-68.3,-3.91,93,33,2.71,AR,1727323692
84,maitum,6.0392,124.4986,29.75,64,36,2.22,PH,1727323704
85,turkmenbasy,40.0222,52.9552,18.95,54,0,6.68,TM,1727323704
86,beterou,9.1992,2.2586,22.28,98,100,1.28,BJ,1727323704
87,haiku-pauwela,20.9219,-156.3051,26.01,70,40,9.39,US,1727323704
88,longyearbyen,78.2186,15.6401,1.91,75,75,12.86,SJ,1727323705
89,sinabang,2.4803,96.3801,30.14,68,52,2.41,ID,1727323705
90,harstad,68.799,16.5293,7.31,97,100,16.09,NO,1727323705
91,enewetak,11.3474,162.3373,29.24,70,5,2.34,MH,1727323705
92,connell,46.6635,-118.8611,18.85,49,100,7.55,US,1727323705
93,bati,11.1833,40.0167,21.44,50,70,1.82,ET,1727323706
94,crane,31.3974,-102.3501,21.71,41,0,4.87,US,1727323706
95,oamaru,-45.0784,170.9801,8.54,87,99,9.13,NZ,1727323706
96,ulladulla,-35.35,150.4667,10.4,83,100,7.3,AU,1727323706
97,bull savanna,17.8868,-77.5902,25.75,87,79,6.28,JM,1727323706
98,puerto natales,-51.7236,-72.4875,4.1,90,100,5.75,CL,1727323706
99,azangaro,-14.9167,-70.2167,10.01,51,82,1.84,PE,1727323707
100,blackmans bay,-43.0167,147.3167,13.18,50,98,2.24,AU,1727323707
101,runaway bay,18.4596,-77.3357,28.15,79,100,2.65,JM,1727323707
102,ilulissat,69.2167,-51.1,1.01,86,40,2.06,GL,1727323707
103,bei'an,46.4398,126.2373,18.43,48,7,2.05,CN,1727323707
104,champerico,14.3,-91.9167,25.91,81,100,8.6,GT,1727323707
105,portland,45.5234,-122.6762,14.89,94,0,0.45,US,1727323387
106,newman,37.3138,-121.0208,21.69,62,0,1.34,US,1727323708
107,cidreira,-30.1811,-50.2056,18.07,97,99,2.19,BR,1727323708
108,nabire,-3.3667,135.4833,28.46,77,89,3.06,ID,1727323708
109,tsetserleg,47.475,101.4542,12.23,31,100,1.08,MN,1727323709
110,island harbour,50.724,-1.2758,15.55,73,89,4.47,GB,1727323709
111,ambalangoda,6.2355,80.0538,29.43,79,65,5.28,LK,1727323506
112,georgetown,5.4112,100.3354,29.96,70,20,3.09,MY,1727323648
113,saverne,48.8333,7.25,14.95,89,100,9.53,FR,1727323709
114,al ghayzah,16.2079,52.176,26.38,78,41,0.16,YE,1727323709
115,papatowai,-46.5619,169.4708,7.49,82,100,5.44,NZ,1727323710
116,mogocha,53.7333,119.7667,16.12,41,67,3.53,RU,1727323710
117,saint-philippe,-21.3585,55.7679,21.78,82,37,4.88,RE,1727323710
